stock_code,data_date,tier,holders,shares,pct
00632R,2026-08-14,10,2217,320070056,12.08
00632R,2026-08-14,11,1043,293877490,11.09
00632R,2026-08-14,12,331,164439756,6.2
00632R,2026-08-14,13,164,114387492,4.31
00632R,2026-08-14,14,90,82188127,3.1
00632R,2026-08-14,15,219,898923909,33.94
00632R,2026-08-14,16,0,0,0.0
00632R,2026-08-14,17,65361,2648207730,100.0
00633L,2026-08-14,1,259,40417,0.03
00633L,2026-08-14,2,1446,3475048,3.0
00633L,2026-08-14,3,519,4224025,3.65
00633L,2026-08-14,4,233,3031502,2.62
00633L,2026-08-14,5,193,3621200,3.13
00633L,2026-08-14,6,215,5613461,4.86
00633L,2026-08-14,7,116,4196212,3.63
00633L,2026-08-14,8,87,4103223,3.55
00633L,2026-08-14,9,210,15626001,13.53
00633L,2026-08-14,10,104,14522000,12.57
00633L,2026-08-14,11,55,15632775,13.53
00633L,2026-08-14,12,14,6655000,5.76
00633L,2026-08-14,13,6,4010000,3.47
00633L,2026-08-14,14,5,4487000,3.88
00633L,2026-08-14,15,13,26220136,22.7
00633L,2026-08-14,16,0,0,0.0
00633L,2026-08-14,17,3475,115458000,100.0
00634R,2026-08-14,1,45,4460,0.0
00634R,2026-08-14,2,305,732306,1.58
00634R,2026-08-14,3,113,958378,2.07
00634R,2026-08-14,4,47,622900,1.34
00634R,2026-08-14,5,42,793682,1.71
00634R,2026-08-14,6,52,1368281,2.95
00634R,2026-08-14,7,34,1198000,2.58
00634R,2026-08-14,8,24,1137800,2.45
00634R,2026-08-14,9,46,3243000,7.01
00634R,2026-08-14,10,33,4965769,10.73
00634R,2026-08-14,11,20,5477835,11.84
00634R,2026-08-14,12,2,1095000,2.36
00634R,2026-08-14,13,4,2766000,5.97
00634R,2026-08-14,14,3,2970000,6.42
00634R,2026-08-14,15,6,18922589,40.9
00634R,2026-08-14,16,0,0,0.0
00634R,2026-08-14,17,776,46256000,100.0
00635U,2026-08-14,1,19252,5102706,1.46
00635U,2026-08-14,2,28729,60419179,17.31
00635U,2026-08-14,3,4673,36460007,10.44
00635U,2026-08-14,4,1516,19414765,5.56
00635U,2026-08-14,5,965,17732093,5.08
00635U,2026-08-14,6,845,21555102,6.17
00635U,2026-08-14,7,370,13301717,3.81
00635U,2026-08-14,8,241,11290777,3.23
00635U,2026-08-14,9,306,21859867,6.26
00635U,2026-08-14,10,150,21115992,6.05
00635U,2026-08-14,11,56,15561140,4.45
00635U,2026-08-14,12,8,3546787,1.01
00635U,2026-08-14,13,5,3563000,1.02
